byte	frequency
0	0.17371406738588746
1	0.17272235749670783
2	0.18004750209993536
3	0.1798133617400362
4	0.17049550370304756
5	0.18664844389126437
6	0.18322089608489248
7	0.1779634757849958
8	0.18925817912226156
9	0.12848984157581295
10	0.16997509406607098
11	0.18257922484832784
12	0.13077549363260574
13	0.1863257558326392
14	0.18224348047354416
15	0.17916287537724532
16	0.18591357533414285
17	0.18809626737675572
18	0.19078393451106923
19	0.17128372203694078
20	0.17995453514571497
21	0.16677328162871166
22	0.17772088993631607
23	0.17778064471955177
24	0.18574921728216925
25	0.17846140074088598
26	0.17717166761502096
27	0.18305340107547444
28	0.17819608161737294
29	0.17836875126967366
30	0.17339553964544677
31	0.09630699514004522
32	0.1892392482217849
33	0.18950607587673518
34	0.17995166036562937
35	0.1455775595402111
36	0.17575270401035936
37	0.19110833912639008
38	0.15934093438240737
39	0.17084869034226516
40	0.17522805456266385
41	0.17945121918026016
42	0.1814821337869995
43	0.16376304082734142
44	0.15779034543243792
45	0.17229871338042776
46	0.15787912719732786
47	0.10062801259118595
48	0.1987815550687085
49	0.18625440291326714
50	0.19138925472526702
51	0.1982221931707909
52	0.17768032022099414
53	0.18598706120500913
54	0.18255154137873608
55	0.2016233809559675
56	0.1963445894010293
57	0.15060361374334183
58	0.17292099879783318
59	0.17120907385649678
60	0.1845605060816185
61	0.1796017809276688
62	0.1640460857641118
63	0.18337599190592374
64	0.1905541682454593
65	0.1940504356510457
66	0.19016399365200576
67	0.1894769198767447
68	0.18269805176256304
69	0.16716129004030333
70	0.18306464021036006
71	0.18681915916974903
72	0.14130191191505875
73	0.16751992516718753
74	0.1738011915143364
75	0.18740844941580506
76	0.1921805803776912
77	0.17690159477205752
78	0.16827179292194472
79	0.19831653814285496
80	0.16920141922623713
81	0.17622689066842623
82	0.18353551800080833
83	0.1890821381371474
84	0.18244305338261985
85	0.18291858811769593
86	0.17814815848693255
87	0.17716393084392704
88	0.17295467605369605
89	0.1765566013938737
90	0.18279813475443643
91	0.17241243995747996
92	0.1845230159412835
93	0.17686134389028071
